location,Plant type,Image,Time (s),Background Paper: Index 4,Background Metal: Index 4
ground,WT,Img-2018-12-19 21_47_42.889672_cut.png,0.2916666666666667,0.33793103448275863,0.33653846153846156
ground,WT,Img-2018-12-20 13_47_53.669176_cut.png,0.9583449074074074,0.336283185840708,0.3365200764818356
ground,WT,Img-2018-12-21 05_48_04.444415_cut.png,1.6256481481481482,0.33653846153846156,0.3365570599613153
ground,WT,Img-2018-12-21 21_48_15.342554_cut.png,2.2923263888888887,0.3364140480591497,0.3365019011406844
ground,WT,Img-2018-12-22 13_48_25.492088_cut.png,2.9590046296296295,0.33620689655172414,0.33646616541353386
ground,WT,Img-2018-12-23 05_48_36.307075_cut.png,3.6256828703703703,0.3361774744027304,0.3365200764818356
ground,WT,Img-2018-12-23 21_48_47.273996_cut.png,4.292361111111111,0.3361921097770154,0.33643122676579923
ground,WT,Img-2018-12-24 13_48_58.081241_cut.png,4.959039351851852,0.3361629881154499,0.33646616541353386
ground,WT,Img-2018-12-25 05_49_09.011679_cut.png,5.626342592592593,0.3362218370883882,0.33643122676579923
ground,WT,Img-2018-12-25 21_49_19.136099_cut.png,6.293020833333333,0.3361774744027304,0.33648393194706994
ground,WT,Img-2018-12-26 13_49_30.211937_cut.png,6.959710648148148,0.3361629881154499,0.33646616541353386
ground,WT,Img-2018-12-27 05_49_41.395611_cut.png,7.626388888888889,0.3361629881154499,0.3365200764818356
ground,WT,Img-2018-12-28 15_02_47.237986_cut.png,9.010416666666666,0.3357664233576642,0.3363148479427549
ground,WT,Img-2018-12-29 08_54_56.624475_cut.png,9.754872685185186,0.33505154639175255,0.3352059925093633
ground,WT,Img-2018-12-30 00_55_05.835713_cut.png,10.422175925925925,0.33506044905008636,0.3352272727272727
ground,WT,Img-2018-12-30 16_55_15.043159_cut.png,11.088854166666666,0.335559265442404,0.3352272727272727
ground,WT,Img-2018-12-31 08_55_24.249260_cut.png,11.755532407407408,0.33506044905008636,0.3352059925093633
ground,WT,Img-2019-01-01 00_55_33.471429_cut.png,12.422210648148148,0.33554817275747506,0.33539094650205764
ground,WT,Img-2019-01-01 16_55_42.704226_cut.png,13.088888888888889,0.33560477001703576,0.3352941176470588
ground,WT,Img-2019-01-02 08_55_56.453749_cut.png,13.755567129629629,0.3379204892966361,0.33779761904761907
ground,TG,Img-2018-12-19 21_47_42.889672_cut.png,0.2916666666666667,0.33558178752107926,0.3333333333333333
ground,TG,Img-2018-12-20 13_47_53.669176_cut.png,0.9583449074074074,0.3339285714285714,0.3315696649029982
ground,TG,Img-2018-12-21 05_48_04.444415_cut.png,1.6256481481481482,0.33541666666666664,0.33154121863799285
ground,TG,Img-2018-12-21 21_48_15.342554_cut.png,2.2923263888888887,0.3333333333333333,0.33152173913043476
ground,TG,Img-2018-12-22 13_48_25.492088_cut.png,2.9590046296296295,0.3333333333333333,0.33152173913043476
ground,TG,Img-2018-12-23 05_48_36.307075_cut.png,3.6256828703703703,0.3333333333333333,0.33152173913043476
ground,TG,Img-2018-12-23 21_48_47.273996_cut.png,4.292361111111111,0.3316412859560068,0.3314917127071823
ground,TG,Img-2018-12-24 13_48_58.081241_cut.png,4.959039351851852,0.33267909148342756,0.33153153153153153
ground,TG,Img-2018-12-25 05_49_09.011679_cut.png,5.626342592592593,0.3333333333333333,0.3314500941619586
ground,TG,Img-2018-12-25 21_49_19.136099_cut.png,6.293020833333333,0.3316239316239316,0.3314917127071823
ground,TG,Img-2018-12-26 13_49_30.211937_cut.png,6.959710648148148,0.33163265306122447,0.3314917127071823
ground,TG,Img-2018-12-27 05_49_41.395611_cut.png,7.626388888888889,0.33157894736842103,0.33146067415730335
ground,TG,Img-2018-12-28 15_02_47.237986_cut.png,9.010416666666666,0.3333333333333333,0.3312368972746331
ground,TG,Img-2018-12-29 08_54_56.624475_cut.png,9.754872685185186,0.33133131327706034,0.33043478260869563
ground,TG,Img-2018-12-30 00_55_05.835713_cut.png,10.422175925925925,0.33134920634920634,0.33037300177619894
ground,TG,Img-2018-12-30 16_55_15.043159_cut.png,11.088854166666666,0.3314009499484698,0.3303249097472924
ground,TG,Img-2018-12-31 08_55_24.249260_cut.png,11.755532407407408,0.33152173913043476,0.3303411131059246
ground,TG,Img-2019-01-01 00_55_33.471429_cut.png,12.422210648148148,0.3316062176165803,0.3304794520547945
ground,TG,Img-2019-01-01 16_55_42.704226_cut.png,13.088888888888889,0.3316412859560068,0.3305084745762712
ground,TG,Img-2019-01-02 08_55_56.453749_cut.png,13.755567129629629,0.3353028064992615,0.3339160839160839
